Timestamp,Starost:,Spol:,Katera družabna omrežja uporabljaš?,Amelie (2001),"Izvor (Inception,  2010)","Vitez teme (The Dark Knight, 2008)",Titanic (1997),"Beležnica (Notebook, 2004)","3 idioti (3 Idiots, 2009)","Matrica (Matrix, 1999)","Življenje je lepo (La vita e' bella, 1997)","Veliki Lebowski (Big Lebowski, 1998)","Reševanje vojaka Ryana (Saving private Ryan, 1998)","Hobiji, s katerim se ukvarjaš:","Športi, s katerimi se ukvarjaš:","Glasba, ki jo poslušaš:"
2016-06-11 12:41:06,18,Ž,Facebook;Snapchat;Instagram;Pinterest;YouTube,0,0,0,4,3,0,0,0,0,0,"slikanje, risanje, fotografija;pohodništvo, hoja v hribe","tek, atletika;plavanje;kolesarjenje;vodni športi (kitesurfing, windsurfing, jadranje...);smučanje, bordanje",balkan folk
2016-06-11 12:41:28,18,Ž,Facebook;Snapchat;Instagram;YouTube,3,0,1,,5,4,0,0,0,0,,odbojka,pop;r'n'b / soul
2016-06-11 12:43:41,18,Ž,Facebook;Snapchat;Instagram;Tumblr;YouTube,0,0,5,4,5,0,0,0,0,3,branje,"smučanje, bordanje",pop;rock;alternativna
2016-06-11 12:44:59,17,Ž,Facebook;YouTube,4,0,0,5,3,,0,0,0,0,"branje;gledališče;pisanje poezije, proze;glasba, petje;pohodništvo, hoja v hribe","odbojka;tek, atletika;plavanje;kolesarjenje;smučanje, bordanje",rock;alternativna
2016-06-11 12:53:53,18,Ž,Facebook;Snapchat;Instagram;YouTube,3,0,0,4,4,3,0,2,0,0,"slikanje, risanje, fotografija","tek, atletika",r'n'b / soul;rock
2016-06-11 01:09:32,17,Ž,Facebook;Snapchat;Instagram;YouTube,0,3,3,4,4,5,0,0,0,3,"glasba, petje;družabne igre","nogomet;odbojka;tek, atletika;kolesarjenje",pop;rock;jazz;alternativna
2016-06-11 01:34:03,17,Ž,Facebook;Twitter;Snapchat;Pinterest;YouTube,3,5,2,4,4,4,5,3,1,1,"glasba, petje;slikanje, risanje, fotografija;ročna dela;kuhanje, kulinarika;družabne igre;taborniki, skavti","tek, atletika;smučanje, bordanje",pop;rock;jazz;folk
2016-06-11 01:44:12,18,M,Facebook;Snapchat;Instagram;YouTube,0,4,4,0,4,5,3,0,0,2,"pohodništvo, hoja v hribe;kuhanje, kulinarika","nogomet;odbojka;tek, atletika;smučanje, bordanje",pop;rock;rap / hip-hop
2016-06-11 02:13:42,17,M,Facebook;YouTube,0,4,4,4,0,0,4,3,5,3,"branje;pisanje poezije, proze;ročna dela","tek, atletika;kolesarjenje",pop;rock;rap / hip-hop;reggage;funk;punk;alternativna;post-punk nugaze vaporfunk
2016-06-11 02:25:00,,M,Facebook;Snapchat;Instagram;YouTube,0,4,5,3,4,5,5,0,0,4,programiranje;ročna dela;družabne igre;reševanje ugank,"odbojka;smučanje, bordanje","rock;elektronska glasba (drum'n'bass, trance, dance, trap, dubstep, techno...)"
