created_at	author_screen_name	text
2016-06-26 21:59:23	MuhdAmirIkhwan	RT @DFB_Team_EN: 4 games, 4 clean sheets - a perfect record at the back for @Manuel_Neuer &amp; Co. 👏 Why not make it 7 games 😉 #EURO2016 https…
2016-06-26 21:59:21	BrownOrBleau	"RT @ContehoIic: Most assists at #EURO2016: 

Eden Hazard (3) 
De Bruyne (3) 

World class. https://t.co/QNONCWhbim"
2016-06-26 21:59:21	lunaccio	RT @axelwitsel28: Lille here we come! #QuarterFinals #EURO2016 #tousenfrance https://t.co/60JF4h4uVA
2016-06-26 21:59:21	GetRealTheVoice	"Check out our new sports board on Facebook! Get Real LOL Pro Sports
https://t.co/oOeQSVoPKX #NASCAR #Olympics2016 #EURO2016 #GRLOL #WWE"
2016-06-26 21:59:19	SonnyJPColeman	"RT @BBCWales: For what it's worth, we're through to the #Euro2016 Quarter Finals.

#WAL 
https://t.co/RUWZFQvprP"
2016-06-26 21:59:17	Jay__Webb	RT @ChelseaFC: What a goal @hazardeden10! 👌  #Euro2016 #HUNBEL
2016-06-26 21:59:17	GarbaMowalter	RT @__arsenalnews_: Congratulations to Laurent Koscielny and Olivier Giroud who are through to the Euro 2016 Quarter-Finals. #EURO2016 http…
2016-06-26 21:59:16	PowerfulFirmino	"FT: #BEL 4-0 #HUN

#HUN's adventure in #EURO2016 stopped. Good adventure, anyway. 

 https://t.co/pwFddxcWVM"
2016-06-26 21:59:16	rungrat79837499	"RT @BBCSport: Hosts France came from behind to beat the Republic of Ireland.

https://t.co/BfigSGTT17 #EURO2016 #FRAIRL https://t.co/23CMMC…"
2016-06-26 21:59:15	hemmonobitch	"RT @UEFAEURO: #GER winger Julian Draxler is the @carlsberg Man of the Match 👏
#EURO2016 https://t.co/YYlYfHelTd"
2016-06-26 21:59:14	freddy_oro22	"RT @UEFAEURO: Sunday's three @carlsberg Man of the Match winners... Bravo! 🎉
INFO: https://t.co/8up1YLq1Ll
#EURO2016 https://t.co/geLB3UByCM"
2016-06-26 21:59:13	lunaccio	RT @AlderweireldTob: Very proud to score and help the team today! What a team performance💪🏼 Proud to be Belgian🇧🇪 #Euro2016 https://t.co/NI…
2016-06-26 21:59:12	Dharmylola	"RT @SuperSportTV: Want daily #EURO2016 highlights sent to you on twitter?
Retweet this tweet &amp; we'll take care of the rest
#SSFootball http…"
2016-06-26 21:59:12	surada29	RT @ChelseaFC: What a goal @hazardeden10! 👌  #Euro2016 #HUNBEL
2016-06-26 21:59:11	freddy_oro22	"RT @UEFAEURO: Gareth Bale v Eden Hazard: 🔥🔥🔥🔥🔥🔥
Lille, 1 July, 21.00CET.
#EURO2016 https://t.co/0ZzfTmgqMO"
2016-06-26 21:59:11	Melnadii	RT @DFB_Team_EN: Kisses for our quarterfinalists! 😘 #JederFuerJeden #EURO2016 #GERSVK https://t.co/9pmX47TKof
2016-06-26 21:59:10	GlitchToRich	Favorite season of the year?#Twitch #GamersUnite #Twitter #SharkWeek #EURO2016 @jimmyfallon @LetGamersUnite #TopGear
2016-06-26 21:59:10	asharhusain	"RT @UEFAEURO: Gareth Bale v Eden Hazard: 🔥🔥🔥🔥🔥🔥
Lille, 1 July, 21.00CET.
#EURO2016 https://t.co/0ZzfTmgqMO"
2016-06-26 21:59:10	DAFXF480	@Alyssa_Milano can you wish #WAL the best of luck for Friday please #EURO2016
2016-06-26 21:59:09	kim_whee	RT @BelRedDevils: Back to Bordeaux! Good night all ;-) #TousenFrance #EURO2016 https://t.co/i8B4ou91FY
2016-06-26 21:59:08	danielaespitale	RT @ToniKroos: Superior display of our @DFB_Team today! Now the #EURO2016 is getting interesting... https://t.co/VyuYbJIgZX
2016-06-26 21:59:07	RafikDistinct	RT @ToniKroos: Superior display of our @DFB_Team today! Now the #EURO2016 is getting interesting... https://t.co/VyuYbJIgZX
2016-06-26 21:59:06	abuishakalkindy	RT @ManUtd: Congrats to @AnthonyMartial &amp; @SchneiderlinMo4 as #FRA reach the #Euro2016 quarter-finals by beating #IRL. They'll face #ENG or…
2016-06-26 21:59:06	nom228	RT @iamimroze: @twittersports argentina will win #messi #copaamerica #euro2016
2016-06-26 21:59:05	anitatatar	RT @DFB_Team_EN: 4 games, 4 clean sheets - a perfect record at the back for @Manuel_Neuer &amp; Co. 👏 Why not make it 7 games 😉 #EURO2016 https…
2016-06-26 21:59:05	abuishakalkindy	RT @ManUtd: .@BSchweinsteiger is the latest Red through to #Euro2016's last 8 after #GER cruised to a 3-0 win v #SVK. Next up for #GER is #…
2016-06-26 21:59:04	BigRuba27	RT @ChelseaFC: Congratulations to @thibautcourtois and @hazardeden10! Next up - quarter-finals. #Euro2016 https://t.co/3az5LohNGe https://t…
2016-06-26 21:59:02	SohaibDifallah	"RT @ContehoIic: Most assists at #EURO2016: 

Eden Hazard (3) 
De Bruyne (3) 

World class. https://t.co/QNONCWhbim"
2016-06-26 21:59:01	ChristinaKa7	RT @Billy_Bert77: Cristiano celebrates Belgium's win over Hungary..... #EURO2016 #euro16gr #HUNBEL https://t.co/HP9euK71Sb
2016-06-26 21:59:00	GarbaMowalter	RT @premierleague: Hosts #FRA book their place in the #EURO2016 last 8, at the expense of #IRL as they come from behind to win 2-1 https://…
2016-06-26 21:59:00	abuishakalkindy	RT @ManUtd: Well done to Marouane Fellaini &amp; #BEL on securing a quarter-finals place at #Euro2016 after a 4-0 win vs Hungary. #BEL face #WA…
2016-06-26 21:59:00	SimplyWilsh_	"RT @UEFAEURO: Sunday's three @carlsberg Man of the Match winners... Bravo! 🎉
INFO: https://t.co/8up1YLq1Ll
#EURO2016 https://t.co/geLB3UByCM"
2016-06-26 21:58:56	rungrat79837499	RT @UEFAEURO: #GER were highly impressive in that match. Can anyone stop them? #GERSVK #EURO2016 https://t.co/uYUMSF33JQ
2016-06-26 21:58:56	t1mgreen	Watching the FRA v RoI game and the goal line official made a decision!!! #firsttimeforeverything #Euro2016
2016-06-26 21:58:56	abuishakalkindy	RT @ManUtd: Read our #Euro2016 blog to see how the #mufc players have done in the last-16 ties so far: https://t.co/zTTmAr40wN https://t.co…
2016-06-26 21:58:55	ManpreetJ17	RT @atletienglish: Belgium has qualified after beating Hungary.Another Atlético in the #EURO2016 quarter-finals! @CarrascoY21 scored the fi…
2016-06-26 21:58:54	TheKellyman	#EURO2016 We came we saw and we left our mark. Well done #Ireland #COYBIG
2016-06-26 21:58:54	rvprilia	RT @ChelseaFC: Congratulations to @thibautcourtois and @hazardeden10! Next up - quarter-finals. #Euro2016 https://t.co/3az5LohNGe https://t…
2016-06-26 21:58:54	Me13570016	RT @ColinMurray: Unlucky #ROI . Gave it everything. The colour of #EURO2016 has been green 💚🇫🇷⚽️💚
2016-06-26 21:58:53	centercircles	"RT @Icelandair: We've supported Iceland's national team for 70 years. This is for Iceland. #EURO2016  Áfram Ísland!
https://t.co/eVQPEkz7pt"
2016-06-26 21:58:53	devinsanders81	RT @ManUnited_Hub: This has to be the best fan costume at #EURO2016 so far! https://t.co/09tqamDeXf
2016-06-26 21:58:52	ManpreetJ17	RT @ChelseaFC: What a goal @hazardeden10! 👌  #Euro2016 #HUNBEL
2016-06-26 21:58:52	WwwIsmahane	"RT @nahed_chouiha: Follow plz😘
↪https://t.co/ruAmnBhqRh 
↪@SuhilaBnLachhab 
#SouhilaBenLachhab
🎧https://t.co/CBjmONyHH8 😍
#دعوه_للوالدين 
#…"
2016-06-26 21:58:51	joakineloko	RT @ScufGaming: The SCUF #EURO2016 Infinity Series controller giveaway is now LIVE! #TeamSCUF https://t.co/qfxBkXFRqP https://t.co/pUKmlI2r…
2016-06-26 21:58:49	vuyocungcu	"RT @SuperSportTV: Want daily #EURO2016 highlights sent to you on twitter?
Retweet this tweet &amp; we'll take care of the rest
#SSFootball http…"
2016-06-26 21:58:49	PapicrisG	"RT @soccerdotcom: #EURO2016 Giveaway!

If #POR win today, we'll give away a #CR7 jersey! RT and Follow to enter! #CROPOR https://t.co/Klueo…"
2016-06-26 21:58:48	kim_whee	RT @axelwitsel28: Lille here we come! #QuarterFinals #EURO2016 #tousenfrance https://t.co/60JF4h4uVA
2016-06-26 21:58:47	ilvanfauzimaya	RT @Arsenal: Well done to @6_LKOSCIELNY and @_OlivierGiroud_! #EURO2016 hosts #FRA reach the quarter-finals with a win over #IRL https://t.…
2016-06-26 21:58:44	_kimss__	"RT @SuperSportTV: Want daily #EURO2016 highlights sent to you on twitter?
Retweet this tweet &amp; we'll take care of the rest
#SSFootball http…"
2016-06-26 21:58:44	asharhusain	"RT @BBCSporf: Eden Hazard assists in 2015/16:

- Belgium: 3 in 4 games
- Chelsea: 3 in 30 games

#Euro2016 https://t.co/0wF1dlyWep"
2016-06-26 21:58:43	IsThereJustus	Solid win from @DFB_Team_EN today! Congrats on the advancement boys! #EURO2016 #GERSVK
2016-06-26 21:58:42	GRLOLBBCanada	"Check out our new sports board on Facebook! Get Real LOL Pro Sports
https://t.co/rVMZT10iC6 #NASCAR #Olympics2016 #EURO2016 #GRLOL #WWE"
2016-06-26 21:58:41	Terry_allmine	"RT @SuperSportTV: Take a bow, Eden Hazard.
#EURO2016 https://t.co/nSWR55Hi5t"
2016-06-26 21:58:36	ibrxhm	"RT @FAWales: Hello @BelRedDevils, we meet again! 👋
#WALBEL
#TogetherStronger
#EURO2016 
https://t.co/S9ILiDhGpm
https://t.co/o2kjz8seou"
2016-06-26 21:58:36	acharyaumesh145	RT @UEFAEURO: 85 - CHANCE! Matuidi sends a perfect left-footed cross into the area for Gignac, who steers wide of the far post. #EURO2016 #…
2016-06-26 21:58:36	GarbaMowalter	"RT @SuperSportTV: Want daily #EURO2016 highlights sent to you on twitter?
Retweet this tweet &amp; we'll take care of the rest
#SSFootball http…"
2016-06-26 21:58:33	lockon_cc07	RT @BelRedDevils: Back to Bordeaux! Good night all ;-) #TousenFrance #EURO2016 https://t.co/i8B4ou91FY
2016-06-26 21:58:32	MuhdAmirIkhwan	RT @philipplahm: A very confident and convincing win! Congrats on reaching the next round, @DFB_Team! #GERSVK #EURO2016
2016-06-26 21:58:31	rungrat79837499	RT @esmuellert_: Quarterfinal - we are coming 😀 3:0 against Slovakia #GERSVK #EURO2016 #diemannschaft #firstneverfollows #esmuellert https:…
2016-06-26 21:58:31	kim_whee	RT @BelRedDevils: .@AlderweireldTob gives us an early lead ! What a way to celebrate his 60th cap !! #hunbel #tousenfrance #EURO2016 https:…
2016-06-26 21:58:30	jjaayypull	RT @esmuellert_: Quarterfinal - we are coming 😀 3:0 against Slovakia #GERSVK #EURO2016 #diemannschaft #firstneverfollows #esmuellert https:…
2016-06-26 21:58:28	AsyrafGoodfella	RT @ChelseaFC: .@hazardeden10 - superb!  #Euro2016 #HUNBEL https://t.co/Iu2fKuJT4i
2016-06-26 21:58:28	innehertanti	"FULL TIME in Lille. 😊😊😊

Quarterfinals, here we come! 💪💪💪

#JederFuerJeden #EURO2016 #GERSVK 3-0… [pic] — https://t.co/6Tf1KWXcO1"
2016-06-26 21:58:23	fahrurIqbal	RT @ChelseaFC: What a goal @hazardeden10! 👌  #Euro2016 #HUNBEL
2016-06-26 21:58:20	spannermandan	RT @premierleague: #BEL ease into the #EURO2016 last 8 - AlderweireldTob and @hazardeden10 are among the scorers as they beat #HUN 4-0 http…
2016-06-26 21:58:19	lunaccio	RT @SMignolet: Great performance tonight! We keep getting stronger each game! Next up, Wales and the quarter finals! #Euro2016 https://t.co…
2016-06-26 21:58:19	fahrurIqbal	RT @ChelseaFC: .@hazardeden10 - superb!  #Euro2016 #HUNBEL https://t.co/Iu2fKuJT4i
2016-06-26 21:58:18	rungrat79837499	"RT @BBCSport: Wales are allowing a nation to dream after reaching the #EURO2016 quarter-finals. 

https://t.co/8yT8MVw32o #WAL https://t.co…"
2016-06-26 21:58:17	acharyaumesh145	RT @UEFAEURO: 77 - CLOSE! Gignac bends a shot towards the far corner and hits the crossbar. #EURO2016 #FRAIRL
2016-06-26 21:58:15	nuch_ytp	RT @SMignolet: Great performance tonight! We keep getting stronger each game! Next up, Wales and the quarter finals! #Euro2016 https://t.co…
2016-06-26 21:58:13	freddy_oro22	"RT @UEFAEURO: QF2: Wales v Belgium. Destination: Lille. 
#EURO2016 https://t.co/Zr0xWo6If1"
2016-06-26 21:58:12	AlexSandoval_95	Watched the #EURO2016 this morning (Congrats #FRA, #BEL, and #GER) but now it's time for the #CopaAmericaCentenario to end...
2016-06-26 21:58:11	Martin_James149	"RT @UTCBETS: BELGIUM ENHANCED FOR TONIGHT'S #EURO2016

DON'T MISS OUT!

https://t.co/xzIWov4kew https://t.co/nfrEopW1mu"
