position	team	degree	popularity	name	surname
Forward	Czech	0.0	0.0	Tomáš	Necid
Forward	Czech	0.0	0.0	Milan	Škoda
Forward	Czech	0.0	0.0	David	Lafata
Goalkeeper	England	0.0	0.0	Fraser	Forster
Goalkeeper	England	0.0	0.0	Joe	Hart
Goalkeeper	England	0.0	0.0	Tom	Heaton
Defender	England	0.0	0.0	Ryan	Bertrand
Defender	England	0.0	0.0	Gary	Cahill
Defender	England	0.0	0.0	Nathaniel	Clyne
Defender	England	1.0	0.0	Danny	Rose
Defender	England	0.0	0.0	Chris	Smalling
Defender	England	0.0	0.0	John	Stones
Defender	England	0.0	0.0	Kyle	Walker
Midfielder	England	2.0	0.0	Dele	Alli
Midfielder	England	0.0	0.0	Ross	Barkley
Midfielder	England	3.0	0.0	Eric	Dier
Midfielder	England	0.0	0.0	Jordan	Henderson
Midfielder	England	5.0	0.0	Adam	Lallana
Midfielder	England	0.0	0.0	James	Milner
Midfielder	England	0.0	0.0	Jack	Wilshere
Forward	England	8.0	0.0	Harry	Kane
Forward	England	3.0	0.0	Wayne	Rooney
Forward (winger)	England	1.0	0.0	Raheem	Sterling
Forward	England	4.0	0.0	Daniel	Sturridge
Forward	England	6.0	0.0	Jamie	Vardy
Forward	England	3.0	0.0	Marcus	Rashford
Goalkeeper	France	1.0	0.0	Hugo	Lloris
Goalkeeper	France	0.0	0.0	Steve	Mandanda
Goalkeeper	France	0.0	0.0	Benoît	Costil
Defender	France	3.0	0.0	Bacary	Sagna
Defender	France	0.0	0.0	Christophe	Jallet
Defender	France	3.0	0.0	Laurent	Koscielny
Defender	France	4.0	0.0	Eliaquim	Mangala
Defender	France	0.0	0.0	Samuel	Umtiti
Defender	France	0.0	0.0	Patrice	Evra
Defender	France	0.0	0.0	Lucas	Digne
Midfielder	France	6.0	0.0	Paul	Pogba
Midfielder	France	1.0	0.0	Blaise	Matuidi
Midfielder	France	0.0	0.0	N'Golo	Kanté
Midfielder	France	4.0	0.0	Yohan	Cabaye
Midfielder	France	0.0	0.0	Moussa	Sissoko
Midfielder	France	1.0	0.0	Morgan	Schneiderlin
Midfielder	France	8.0	0.0	Dimitri	Payet
Forward	France	2.0	0.0	Kingsley	Coman
Forward	France	8.0	0.0	Antoine	Griezmann
Forward	France	1.0	0.0	Anthony	Martial
Forward	France	3.0	0.0	Olivier	Giroud
Forward	France	2.0	0.0	André-Pierre	Gignac
Defender	France	6.0	0.0	Adil	Rami
Goalkeeper	German	2.0	0.0	Manuel	Neuer
Goalkeeper	German	0.0	0.0	Marc-André	ter Stegen
Goalkeeper	German	0.0	0.0	Bernd	Leno
Defender	German	6.0	0.0	Jérôme	Boateng
Defender	German	0.0	0.0	Mats	Hummels
Defender	German	1.0	0.0	Jonas	Hector
Defender	German	0.0	0.0	Shkodran	Mustafi
Defender	German	0.0	0.0	Antonio	Rüdiger
Defender	German	2.0	0.0	Joshua	Kimmich
Defender	German	0.0	0.0	Benedikt	Höwedes
Midfielder	German	4.0	0.0	Bastian	Schweinsteiger
Midfielder	German	0.0	0.0	Sami	Khedira
Midfielder	German	3.0	0.0	Toni	Kroos
Midfielder	German	0.0	0.0	Mesut	Özil
Midfielder	German	11.0	0.0	Julian	Draxler
Midfielder	German	0.0	0.0	Julian	Weigl
Forward	German	0.0	0.0	Thomas	Müller
Midfielder	German	0.0	0.0	Leroy	Sané
Midfielder	German	0.0	0.0	Mario	Götze
Forward	German	2.0	0.0	Lukas	Podolski
Midfielder	German	0.0	0.0	André	Schürrle
